cavity_id,group_id,local_member_id,symmetry_operation,x,y,z,normal_x,normal_y,normal_z,streamwise_x,streamwise_y,streamwise_z,rotation_angle,accepted,rejection_reason,nearest_face_distance_mm
122,30,2,C4_rot_180deg,25602.202343,2004.550104,1671.709974,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
123,30,3,C4_rot_270deg,25622.147519,1984.550104,1670.230120,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
124,31,0,C4_rot_0deg,25941.270329,2004.550104,1646.552448,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
125,31,1,C4_rot_90deg,25921.325153,2024.550104,1648.032303,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
126,31,2,C4_rot_180deg,25901.379978,2004.550104,1649.512157,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
127,31,3,C4_rot_270deg,25921.325153,1984.550104,1648.032303,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
128,32,0,C4_rot_0deg,26240.447963,2004.550104,1624.354631,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
129,32,1,C4_rot_90deg,26220.502788,2024.550104,1625.834486,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
130,32,2,C4_rot_180deg,26200.557612,2004.550104,1627.314340,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
131,32,3,C4_rot_270deg,26220.502788,1984.550104,1625.834486,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
132,33,0,C4_rot_0deg,26539.625598,2004.550104,1602.156814,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
133,33,1,C4_rot_90deg,26519.680422,2024.550104,1603.636668,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
134,33,2,C4_rot_180deg,26499.735247,2004.550104,1605.116523,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
135,33,3,C4_rot_270deg,26519.680422,1984.550104,1603.636668,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
136,34,0,C4_rot_0deg,26838.803232,2004.550104,1579.958997,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
137,34,1,C4_rot_90deg,26818.858057,2024.550104,1581.438851,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
138,34,2,C4_rot_180deg,26798.912881,2004.550104,1582.918706,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
139,34,3,C4_rot_270deg,26818.858057,1984.550104,1581.438851,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
140,35,0,C4_rot_0deg,27137.980867,2004.550104,1557.761180,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
141,35,1,C4_rot_90deg,27118.035691,2024.550104,1559.241034,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
142,35,2,C4_rot_180deg,27098.090515,2004.550104,1560.720889,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
143,35,3,C4_rot_270deg,27118.035691,1984.550104,1559.241034,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
144,36,0,C4_rot_0deg,27437.158501,2004.550104,1535.563363,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
145,36,1,C4_rot_90deg,27417.213325,2024.550104,1537.043217,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
146,36,2,C4_rot_180deg,27397.268150,2004.550104,1538.523072,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
147,36,3,C4_rot_270deg,27417.213325,1984.550104,1537.043217,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
148,37,0,C4_rot_0deg,27736.336135,2004.550104,1513.365545,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
149,37,1,C4_rot_90deg,27716.390960,2024.550104,1514.845400,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
150,37,2,C4_rot_180deg,27696.445784,2004.550104,1516.325254,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
151,37,3,C4_rot_270deg,27716.390960,1984.550104,1514.845400,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
152,38,0,C4_rot_0deg,28035.513770,2004.550104,1491.167728,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
153,38,1,C4_rot_90deg,28015.568594,2024.550104,1492.647583,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
154,38,2,C4_rot_180deg,27995.623418,2004.550104,1494.127437,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
